dep,jour,pop,p,cl_age90
38,2020-05-13,166838.00,1,49
38,2020-05-13,165540.00,1,59
38,2020-05-13,141349.00,0,69
38,2020-05-13,102238.00,0,79
38,2020-05-13,55285.00,0,89
38,2020-05-13,15022.00,0,90
39,2020-05-13,257849.00,0,0
39,2020-05-13,26892.00,0,09
39,2020-05-13,30747.00,0,19
39,2020-05-13,22512.00,0,29
39,2020-05-13,28552.00,0,39
39,2020-05-13,32094.00,0,49
39,2020-05-13,36427.00,0,59
39,2020-05-13,34733.00,0,69
39,2020-05-13,26160.00,0,79
39,2020-05-13,15147.00,0,89
39,2020-05-13,4585.00,0,90
40,2020-05-13,411979.00,0,0
40,2020-05-13,40045.00,0,09
40,2020-05-13,45099.00,0,19
40,2020-05-13,32646.00,0,29
40,2020-05-13,45849.00,0,39
40,2020-05-13,54129.00,0,49
40,2020-05-13,58062.00,0,59
40,2020-05-13,59484.00,0,69
40,2020-05-13,44613.00,0,79
40,2020-05-13,25189.00,0,89
40,2020-05-13,6863.00,0,90
41,2020-05-13,327835.00,2,0
41,2020-05-13,33836.00,0,09
41,2020-05-13,39117.00,0,19
41,2020-05-13,27982.00,0,29
41,2020-05-13,34921.00,0,39
41,2020-05-13,40911.00,1,49
41,2020-05-13,45162.00,0,59
41,2020-05-13,45413.00,0,69
41,2020-05-13,32934.00,1,79
41,2020-05-13,21179.00,0,89
41,2020-05-13,6380.00,0,90
42,2020-05-13,764737.00,4,0
42,2020-05-13,89470.00,0,09
42,2020-05-13,96579.00,1,19
42,2020-05-13,80497.00,0,29
42,2020-05-13,87478.00,0,39
42,2020-05-13,93717.00,0,49
42,2020-05-13,96985.00,0,59
42,2020-05-13,92054.00,0,69
42,2020-05-13,72406.00,0,79
42,2020-05-13,43019.00,1,89
42,2020-05-13,12532.00,2,90
43,2020-05-13,226901.00,0,0
43,2020-05-13,22726.00,0,09
43,2020-05-13,26933.00,0,19
43,2020-05-13,19093.00,0,29
43,2020-05-13,24155.00,0,39
43,2020-05-13,28786.00,0,49
43,2020-05-13,32117.00,0,59
43,2020-05-13,32289.00,0,69
43,2020-05-13,23260.00,0,79
43,2020-05-13,13770.00,0,89
43,2020-05-13,3772.00,0,90
44,2020-05-13,1437137.00,5,0
44,2020-05-13,175752.00,0,09
44,2020-05-13,187929.00,0,19
44,2020-05-13,167592.00,0,29
44,2020-05-13,190072.00,0,39
44,2020-05-13,190724.00,2,49
44,2020-05-13,177335.00,0,59
44,2020-05-13,158571.00,0,69
44,2020-05-13,109987.00,0,79
44,2020-05-13,61831.00,3,89
44,2020-05-13,17344.00,0,90
45,2020-05-13,682890.00,14,0
45,2020-05-13,83183.00,0,09
45,2020-05-13,89162.00,0,19
45,2020-05-13,72752.00,3,29
45,2020-05-13,82596.00,3,39
45,2020-05-13,87117.00,2,49
45,2020-05-13,87500.00,1,59
45,2020-05-13,80255.00,1,69
45,2020-05-13,57662.00,1,79
45,2020-05-13,33465.00,1,89
45,2020-05-13,9198.00,2,90
46,2020-05-13,173166.00,1,0
46,2020-05-13,14534.00,0,09
46,2020-05-13,17327.00,0,19
46,2020-05-13,12936.00,0,29
46,2020-05-13,16429.00,1,39
46,2020-05-13,19814.00,0,49
46,2020-05-13,24719.00,0,59
46,2020-05-13,28282.00,0,69
46,2020-05-13,21745.00,0,79
46,2020-05-13,13027.00,0,89
46,2020-05-13,4353.00,0,90
47,2020-05-13,330336.00,0,0
47,2020-05-13,33156.00,0,09
47,2020-05-13,36834.00,0,19
47,2020-05-13,28435.00,0,29
47,2020-05-13,35714.00,0,39
47,2020-05-13,38760.00,0,49
47,2020-05-13,45512.00,0,59
47,2020-05-13,47036.00,0,69
47,2020-05-13,36563.00,0,79
47,2020-05-13,21707.00,0,89
47,2020-05-13,6619.00,0,90
48,2020-05-13,76286.00,0,0
48,2020-05-13,6983.00,0,09
